availablecapacity;freeparking;isopennow;occupation;totalcapacity;timestamp
277;0;1;43;489;20221130095001
366;0;1;25;489;20221130044001
238;0;1;51;489;20221130133001
280;0;1;42;489;20221130094001
357;0;1;26;489;20221130071501
370;0;1;24;489;20221130234619
273;0;1;44;489;20221129205001
353;0;1;27;489;20221129225501
365;0;1;25;489;20221130025501
273;0;1;44;489;20221129204001
232;0;1;52;489;20221129200801
244;0;1;50;489;20221130134501
299;0;1;38;489;20221130162501
366;0;1;25;489;20221130232501
248;0;1;49;489;20221130140001
316;0;1;35;489;20221130172501
199;0;1;59;489;20221129190201
334;0;1;31;489;20221129163801
366;0;1;25;489;20221130045001
248;0;1;49;489;20221130140501
356;0;1;27;489;20221129231501
366;0;1;25;489;20221130042501
365;0;1;25;489;20221130025001
210;0;1;57;489;20221129184601
238;0;1;51;489;20221130132501
286;0;1;41;489;20221130092001
333;0;1;31;489;20221129173401
239;0;1;51;489;20221129182601
364;0;1;25;489;20221130024501
286;0;1;41;489;20221130184155
279;0;1;42;489;20221130094501
301;0;1;38;489;20221130084501
241;0;1;50;489;20221129202001
201;0;1;58;489;20221129194601
370;0;1;24;489;20221130061001
313;0;1;35;489;20221130170501
212;0;1;56;489;20221129183801
365;0;1;25;489;20221130050501
205;0;1;58;489;20221129195201
302;0;1;38;489;20221129215001
299;0;1;38;489;20221129214501
365;0;1;25;489;20221130031501
241;0;1;50;489;20221129202401
262;0;1;46;489;20221130102501
347;0;1;29;489;20221129172201
302;0;1;38;489;20221130083501
283;0;1;42;489;20221129180801
194;0;1;60;489;20221129193801
263;0;1;46;489;20221130102001
348;0;1;28;489;20221129170201
204;0;1;58;489;20221129185401
264;0;1;46;489;20221130194001
273;0;1;44;489;20221129204801
231;0;1;52;489;20221129201001
287;0;1;41;489;20221129180401
265;0;1;45;489;20221130145001
192;0;1;60;489;20221129191601
311;0;1;36;489;20221130170001
306;0;1;37;489;20221130180001
199;0;1;59;489;20221129190601
281;0;1;42;489;20221129210001
362;0;1;25;489;20221130000501
361;0;1;26;489;20221130011501
280;0;1;42;489;20221130095501
370;0;1;24;489;20221130065501
361;0;1;26;489;20221130011001
332;0;1;32;489;20221129173201
245;0;1;49;489;20221130105501
234;0;1;52;489;20221129201401
293;0;1;40;489;20221130162001
365;0;1;25;489;20221130032001
341;0;1;30;489;20221129222001
231;0;1;52;489;20221129182401
366;0;1;25;489;20221130054001
213;0;1;56;489;20221129184201
361;0;1;26;489;20221130012501
262;0;1;46;489;20221130200001
271;0;1;44;489;20221130191501
346;0;1;29;489;20221129170601
366;0;1;25;489;20221130053001
239;0;1;51;489;20221129201801
295;0;1;39;489;20221130085501
219;0;1;55;489;20221129195601
350;0;1;28;489;20221130073001
353;0;1;27;489;20221130224501
231;0;1;52;489;20221129182801
239;0;1;51;489;20221129201601
364;0;1;25;489;20221130021501
263;0;1;46;489;20221130103501
239;0;1;51;489;20221130123501
284;0;1;41;489;20221129211201
269;0;1;44;489;20221129203601
283;0;1;42;489;20221129211801
365;0;1;25;489;20221130031001
290;0;1;40;489;20221129212401
365;0;1;25;489;20221130033001
362;0;1;25;489;20221130003001
263;0;1;46;489;20221130113001
364;0;1;25;489;20221130020001
263;0;1;46;489;20221130194832
265;0;1;45;489;20221130201001
355;0;1;27;489;20221130230001
262;0;1;46;489;20221130101501
366;0;1;25;489;20221130052501
346;0;1;29;489;20221129171001
316;0;1;35;489;20221130081501
244;0;1;50;489;20221130122501
296;0;1;39;489;20221129175801
281;0;1;42;489;20221129210401
283;0;1;42;489;20221129210601
280;0;1;42;489;20221129205601
366;0;1;25;489;20221130053501
238;0;1;51;489;20221130125501
247;0;1;49;489;20221129202601
346;0;1;29;489;20221129223501
319;0;1;34;489;20221130174001
365;0;1;25;489;20221130030501
258;0;1;47;489;20221130114001
282;0;1;42;489;20221130213501
363;0;1;25;489;20221130015501
362;0;1;25;489;20221130002001
362;0;1;25;489;20221130001001
265;0;1;45;489;20221130192501
263;0;1;46;489;20221130195001
249;0;1;49;489;20221130141001
287;0;1;41;489;20221129211601
190;0;1;61;489;20221129192401
365;0;1;25;489;20221130050001
332;0;1;32;489;20221129173801
363;0;1;25;489;20221130015001
334;0;1;31;489;20221129173001
327;0;1;33;489;20221129174601
261;0;1;46;489;20221129181601
339;0;1;30;489;20221129164601
341;0;1;30;489;20221129221501
231;0;1;52;489;20221129201201
356;0;1;27;489;20221129231001
360;0;1;26;489;20221129234501
237;0;1;51;489;20221130123001
306;0;1;37;489;20221130164501
291;0;1;40;489;20221130090501
337;0;1;31;489;20221129164201
317;0;1;35;489;20221130175501
365;0;1;25;489;20221130045501
244;0;1;50;489;20221130135001
283;0;1;42;489;20221129211001
310;0;1;36;489;20221130165001
349;0;1;28;489;20221130225001
322;0;1;34;489;20221130221001
319;0;1;34;489;20221130075501
262;0;1;46;489;20221130151501
281;0;1;42;489;20221129210201
273;0;1;44;489;20221130154501
214;0;1;56;489;20221129184001
227;0;1;53;489;20221129200601
365;0;1;25;489;20221130034001
259;0;1;47;489;20221130143001
299;0;1;38;489;20221130163001
274;0;1;43;489;20221129204201
344;0;1;29;489;20221129171802
264;0;1;46;489;20221130203001
267;0;1;45;489;20221130150001
346;0;1;29;489;20221129170001
366;0;1;25;489;20221130042001
271;0;1;44;489;20221130205501
317;0;1;35;489;20221130175001
323;0;1;33;489;20221129175001
262;0;1;46;489;20221130195501
346;0;1;29;489;20221129165601
247;0;1;49;489;20221130121001
364;0;1;25;489;20221130023501
271;0;1;44;489;20221130204501
295;0;1;39;489;20221130090001
290;0;1;40;489;20221130091001
193;0;1;60;489;20221129193001
280;0;1;42;489;20221130190001
310;0;1;36;489;20221130172001
254;0;1;48;489;20221130142501
247;0;1;49;489;20221130121501
365;0;1;25;489;20221130051501
321;0;1;34;489;20221130173501
364;0;1;25;489;20221130022945
278;0;1;43;489;20221130185501
192;0;1;60;489;20221129191801
212;0;1;56;489;20221129183601
271;0;1;44;489;20221129181201
366;0;1;25;489;20221130071001
365;0;1;25;489;20221130032501
354;0;1;27;489;20221129224501
273;0;1;44;489;20221129204601
363;0;1;25;489;20221130014001
222;0;1;54;489;20221129200401
368;0;1;24;489;20221130233501
286;0;1;41;489;20221130184036
342;0;1;30;489;20221129172001
264;0;1;46;489;20221130202501
358;0;1;26;489;20221130230501
240;0;1;50;489;20221130124001
264;0;1;46;489;20221130203501
313;0;1;35;489;20221130171001
286;0;1;41;489;20221129211401
360;0;1;26;489;20221130010501
261;0;1;46;489;20221130151001
207;0;1;57;489;20221129184801
239;0;1;51;489;20221130124501
317;0;1;35;489;20221130074501
302;0;1;38;489;20221129180001
237;0;1;51;489;20221130130501
361;0;1;26;489;20221130004001
365;0;1;25;489;20221130035501
344;0;1;29;489;20221129172401
345;0;1;29;489;20221129223001
247;0;1;49;489;20221130112001
356;0;1;27;489;20221129232001
325;0;1;33;489;20221130222001
204;0;1;58;489;20221129185801
266;0;1;45;489;20221129181401
283;0;1;42;489;20221129210801
252;0;1;48;489;20221130115001
363;0;1;25;489;20221130013001
296;0;1;39;489;20221129214001
366;0;1;25;489;20221130040001
332;0;1;32;489;20221129173601
295;0;1;39;489;20221129213601
374;0;1;23;489;20221130062501
284;0;1;41;489;20221130093501
366;0;1;25;489;20221130044501
277;0;1;43;489;20221130190501
318;0;1;34;489;20221129175201
269;0;1;44;489;20221130152501
252;0;1;48;489;20221130141501
245;0;1;49;489;20221129182201
291;0;1;40;489;20221129212801
222;0;1;54;489;20221129200001
368;0;1;24;489;20221130060001
245;0;1;49;489;20221130110001
199;0;1;59;489;20221129190401
197;0;1;59;489;20221129190801
252;0;1;48;489;20221130105001
362;0;1;25;489;20221130231001
305;0;1;37;489;20221130164001
320;0;1;34;489;20221130080501
310;0;1;36;489;20221129175601
295;0;1;39;489;20221130085001
365;0;1;25;489;20221130034501
365;0;1;25;489;20221130033501
317;0;1;35;489;20221130074001
356;0;1;27;489;20221129230001
270;0;1;44;489;20221129203801
250;0;1;48;489;20221130115501
359;0;1;26;489;20221129233001
335;0;1;31;489;20221129172801
266;0;1;45;489;20221130145501
285;0;1;41;489;20221130160001
348;0;1;28;489;20221129170801
259;0;1;47;489;20221130143501
360;0;1;26;489;20221130010001
288;0;1;41;489;20221130214001
247;0;1;49;489;20221130111501
349;0;1;28;489;20221129171401
265;0;1;45;489;20221130153001
366;0;1;25;489;20221130232001
262;0;1;46;489;20221130100501
372;0;1;23;489;20221201001501
372;0;1;23;489;20221201002001
372;0;1;23;489;20221201002501
373;0;1;23;489;20221201003001
373;0;1;23;489;20221201003501
374;0;1;23;489;20221201004001
374;0;1;23;489;20221201004501
374;0;1;23;489;20221201005001
374;0;1;23;489;20221201005501
374;0;1;23;489;20221201010001
374;0;1;23;489;20221201010501
374;0;1;23;489;20221201011001
374;0;1;23;489;20221201011501
374;0;1;23;489;20221201012001
374;0;1;23;489;20221201012502
374;0;1;23;489;20221201013001
374;0;1;23;489;20221201013501
374;0;1;23;489;20221201014001
375;0;1;23;489;20221201014501
374;0;1;23;489;20221201015001
378;0;1;22;489;20221201015501
379;0;1;22;489;20221201020001
379;0;1;22;489;20221201020501
379;0;1;22;489;20221201021001
379;0;1;22;489;20221201021501
379;0;1;22;489;20221201022001
379;0;1;22;489;20221201022501
379;0;1;22;489;20221201023001
379;0;1;22;489;20221201023501
379;0;1;22;489;20221201024001
379;0;1;22;489;20221201024501
379;0;1;22;489;20221201025001
379;0;1;22;489;20221201025501
379;0;1;22;489;20221201030001
379;0;1;22;489;20221201030501
379;0;1;22;489;20221201031001
379;0;1;22;489;20221201031501
379;0;1;22;489;20221201032001
379;0;1;22;489;20221201032501
379;0;1;22;489;20221201033001
379;0;1;22;489;20221201033501
379;0;1;22;489;20221201034001
379;0;1;22;489;20221201034501
379;0;1;22;489;20221201035001
380;0;1;22;489;20221201035501
380;0;1;22;489;20221201040001
380;0;1;22;489;20221201040501
380;0;1;22;489;20221201041001
381;0;1;22;489;20221201041501
380;0;1;22;489;20221201042001
381;0;1;22;489;20221201042501
381;0;1;22;489;20221201043001
381;0;1;22;489;20221201043501
381;0;1;22;489;20221201044001
380;0;1;22;489;20221201044501
380;0;1;22;489;20221201045001
380;0;1;22;489;20221201045501
380;0;1;22;489;20221201050001
379;0;1;22;489;20221201050501
381;0;1;22;489;20221201051001
381;0;1;22;489;20221201051501
381;0;1;22;489;20221201052001
382;0;1;21;489;20221201052501
382;0;1;21;489;20221201053001
383;0;1;21;489;20221201053501
383;0;1;21;489;20221201054001
383;0;1;21;489;20221201054501
383;0;1;21;489;20221201055001
383;0;1;21;489;20221201055501
383;0;1;21;489;20221201060001
383;0;1;21;489;20221201060501
382;0;1;21;489;20221201061001
382;0;1;21;489;20221201061501
381;0;1;22;489;20221201062001
381;0;1;22;489;20221201062501
382;0;1;21;489;20221201063001
385;0;1;21;489;20221201063501
382;0;1;21;489;20221201064001
381;0;1;22;489;20221201064501
378;0;1;22;489;20221201065001
376;0;1;23;489;20221201065501
