availablecapacity;freeparking;isopennow;occupation;totalcapacity;timestamp
122;0;1;-1;120;20221129203401
41;0;1;31;60;20221130114501
69;0;1;-15;60;20221130070001
72;0;1;-20;60;20221130063001
48;0;1;20;60;20221130095001
78;0;1;-30;60;20221130044001
176;0;1;12;200;20221130133001
49;0;1;18;60;20221130094001
70;0;1;-16;60;20221130071501
209;0;1;-4;200;20221130234619
123;0;1;-2;120;20221129205001
137;0;1;-14;120;20221129225501
78;0;1;-30;60;20221130025501
124;0;1;-3;120;20221129204001
121;0;1;0;120;20221129200801
174;0;1;13;200;20221130134501
188;0;1;6;200;20221130162501
210;0;1;-5;200;20221130232501
176;0;1;12;200;20221130140001
190;0;1;5;200;20221130172501
115;0;1;4;120;20221129190201
43;0;1;28;60;20221129163801
78;0;1;-30;60;20221130045001
178;0;1;11;200;20221130140501
139;0;1;-15;120;20221129231501
78;0;1;-30;60;20221130042501
78;0;1;-30;60;20221130025001
115;0;1;4;120;20221129184601
176;0;1;12;200;20221130132501
50;0;1;16;60;20221130092001
119;0;1;0;120;20221129173401
119;0;1;0;120;20221129182601
78;0;1;-30;60;20221130024501
194;0;1;3;200;20221130184155
49;0;1;18;60;20221130094501
52;0;1;13;60;20221130084501
121;0;1;0;120;20221129202001
117;0;1;2;120;20221129194601
74;0;1;-23;60;20221130061001
191;0;1;4;200;20221130170501
115;0;1;4;120;20221129183801
77;0;1;-28;60;20221130050501
118;0;1;1;120;20221129195201
129;0;1;-7;120;20221129215001
129;0;1;-7;120;20221129214501
78;0;1;-30;60;20221130031501
121;0;1;0;120;20221129202401
44;0;1;26;60;20221130102501
122;0;1;-1;120;20221129172201
51;0;1;15;60;20221130083501
116;0;1;3;120;20221129180801
117;0;1;2;120;20221129193801
44;0;1;26;60;20221130102001
59;0;1;1;60;20221129170201
115;0;1;4;120;20221129185401
195;0;1;2;200;20221130194001
123;0;1;-2;120;20221129204801
121;0;1;0;120;20221129201001
117;0;1;2;120;20221129180401
182;0;1;9;200;20221130145001
117;0;1;2;120;20221129191601
190;0;1;5;200;20221130170001
194;0;1;3;200;20221130180001
115;0;1;4;120;20221129190601
126;0;1;-5;120;20221129210001
139;0;1;-15;120;20221130000501
138;0;1;-15;120;20221130011501
49;0;1;18;60;20221130095501
69;0;1;-15;60;20221130065501
138;0;1;-15;120;20221130011001
122;0;1;-1;120;20221129173201
43;0;1;28;60;20221130105501
122;0;1;-1;120;20221129201401
188;0;1;6;200;20221130162001
78;0;1;-30;60;20221130032001
131;0;1;-9;120;20221129222001
119;0;1;0;120;20221129182401
77;0;1;-28;60;20221130054001
115;0;1;4;120;20221129184201
138;0;1;-15;120;20221130012501
195;0;1;2;200;20221130200001
191;0;1;4;200;20221130191501
60;0;1;0;60;20221129170601
77;0;1;-28;60;20221130053001
122;0;1;-1;120;20221129201801
52;0;1;13;60;20221130085501
120;0;1;0;120;20221129195601
67;0;1;-11;60;20221130073001
208;0;1;-4;200;20221130224501
119;0;1;0;120;20221129182801
121;0;1;0;120;20221129201601
78;0;1;-30;60;20221130021501
44;0;1;26;60;20221130103501
40;0;1;33;60;20221130123501
126;0;1;-5;120;20221129211201
122;0;1;-1;120;20221129203601
126;0;1;-5;120;20221129211801
78;0;1;-30;60;20221130031001
128;0;1;-6;120;20221129212401
78;0;1;-30;60;20221130033001
138;0;1;-15;120;20221130003001
40;0;1;33;60;20221130113001
78;0;1;-30;60;20221130020001
195;0;1;2;200;20221130194832
195;0;1;2;200;20221130201001
208;0;1;-4;200;20221130230001
45;0;1;25;60;20221130101501
77;0;1;-28;60;20221130052501
59;0;1;1;60;20221129171001
57;0;1;5;60;20221130081501
42;0;1;30;60;20221130122501
117;0;1;2;120;20221129175801
126;0;1;-5;120;20221129210401
126;0;1;-5;120;20221129210601
125;0;1;-4;120;20221129205601
77;0;1;-28;60;20221130053501
179;0;1;10;200;20221130125501
121;0;1;0;120;20221129202601
136;0;1;-13;120;20221129223501
191;0;1;4;200;20221130174001
78;0;1;-30;60;20221130030501
41;0;1;31;60;20221130114001
200;0;1;0;200;20221130213501
78;0;1;-30;60;20221130015501
139;0;1;-15;120;20221130002001
139;0;1;-15;120;20221130001001
193;0;1;3;200;20221130192501
195;0;1;2;200;20221130195001
178;0;1;11;200;20221130141001
127;0;1;-5;120;20221129211601
118;0;1;1;120;20221129192401
78;0;1;-30;60;20221130050001
123;0;1;-2;120;20221129173801
78;0;1;-30;60;20221130015001
118;0;1;1;120;20221129173001
121;0;1;0;120;20221129174601
119;0;1;0;120;20221129181601
54;0;1;10;60;20221129164601
131;0;1;-9;120;20221129221501
121;0;1;0;120;20221129201201
138;0;1;-15;120;20221129231001
139;0;1;-15;120;20221129234501
42;0;1;30;60;20221130123001
189;0;1;5;200;20221130164501
50;0;1;16;60;20221130090501
50;0;1;16;60;20221129164201
194;0;1;3;200;20221130175501
78;0;1;-30;60;20221130045501
174;0;1;13;200;20221130135001
126;0;1;-5;120;20221129211001
189;0;1;5;200;20221130165001
208;0;1;-4;200;20221130225001
207;0;1;-3;200;20221130221001
64;0;1;-6;60;20221130075501
183;0;1;8;200;20221130151501
126;0;1;-5;120;20221129210201
182;0;1;9;200;20221130154501
116;0;1;3;120;20221129184001
121;0;1;0;120;20221129200601
78;0;1;-30;60;20221130034001
180;0;1;10;200;20221130143001
188;0;1;6;200;20221130163001
124;0;1;-3;120;20221129204201
122;0;1;-1;120;20221129171802
195;0;1;2;200;20221130203001
182;0;1;9;200;20221130150001
56;0;1;6;60;20221129170001
78;0;1;-30;60;20221130042001
198;0;1;1;200;20221130205501
194;0;1;3;200;20221130175001
119;0;1;0;120;20221129175001
195;0;1;2;200;20221130195501
56;0;1;6;60;20221129165601
42;0;1;30;60;20221130121001
78;0;1;-30;60;20221130023501
196;0;1;2;200;20221130204501
52;0;1;13;60;20221130090001
51;0;1;15;60;20221130091001
117;0;1;2;120;20221129193001
191;0;1;4;200;20221130190001
191;0;1;4;200;20221130172001
180;0;1;10;200;20221130142501
42;0;1;30;60;20221130121501
77;0;1;-28;60;20221130051501
195;0;1;2;200;20221130173501
