occupation;timestamp
350;20221130084001
140;20221129220501
439;20221130120501
166;20221130005001
166;20221130012001
183;20221130065001
295;20221130215001
420;20221130144001
418;20221130101001
185;20221129174801
138;20221130055001
309;20221129193201
444;20221130131501
183;20221129213401
394;20221130093001
145;20221130051001
240;20221130222501
182;20221129213201
377;20221130185001
349;20221130083001
391;20221130152001
97;20221129171201
146;20221130041001
446;20221130133501
185;20221129174401
358;20221130210001
220;20221129181001
60;20221130000001
391;20221130201501
295;20221130215501
140;20221129221001
294;20221129194801
177;20221130064501
436;20221130110501
269;20221130075002
425;20221130104001
278;20221130220001
326;20221130213001
114;20221129165201
277;20221129183401
397;20221130193001
429;20221130113501
260;20221129203001
444;20221130134001
396;20221130193501
155;20221130061501
310;20221129192001
308;20221129192601
326;20221130180501
168;20221130064001
167;20221130003501
317;20221130081001
444;20221130122001
165;20221130013501
289;20221130171501
197;20221130231501
146;20221130022501
138;20221129164401
309;20221129192801
201;20221129212201
408;20221130100001
157;20221130062001
65;20221129234001
146;20221130023001
226;20221130072501
331;20221130082501
145;20221130030001
62;20221129235001
346;20221130212001
382;20221130153501
211;20221130225501
342;20221130212501
195;20221129175401
286;20221129195401
390;20221130092501
382;20221130204001
427;20221130104501
273;20221129183201
313;20221129191201
285;20221129200201
350;20221130161501
193;20221130233001
307;20221129194001
433;20221130112501
100;20221129170401
399;20221130191001
186;20221129213001
150;20221129164001
141;20221130043501
148;20221130020502
143;20221130052001
436;20221130135501
309;20221130214501
216;20221129180201
430;20221130142001
309;20221129192201
395;20221130200501
77;20221129230501
147;20221130022001
168;20221130063501
289;20221129195801
200;20221129212001
317;20221130163737
238;20221129204401
197;20221129212601
271;20221129202201
141;20221130043001
108;20221129165401
436;20221130111001
446;20221130120001
146;20221130041501
436;20221130125001
353;20221130211001
82;20221129225001
375;20221130154001
145;20221129215501
307;20221129193601
146;20221130035001
421;20221130103001
187;20221129172601
98;20221129171601
197;20221130070501
253;20221129182001
146;20221130040501
234;20221129180601
182;20221129174001
419;20221130144501
111;20221129222501
106;20221129165801
444;20221130131001
369;20221130205001
88;20221129224001
398;20221130192001
444;20221130132001
139;20221130055501
146;20221130024001
278;20221130220501
339;20221130181501
139;20221130054501
411;20221130150501
271;20221129183001
306;20221129194201
188;20221130234534
0;20221130162923
185;20221129174201
226;20221130224001
295;20221130174501
69;20221129232501
291;20221130080001
235;20221129205201
359;20221130210501
152;20221130060501
309;20221129190001
320;20221130163501
305;20221129185201
238;20221130073501
371;20221130155501
392;20221130202001
168;20221130001501
341;20221130182001
118;20221129165001
317;20221130082001
165;20221129163601
166;20221130004501
165;20221130005501
64;20221129233501
440;20221130130002
271;20221130221501
122;20221129164801
61;20221129235501
381;20221130091501
291;20221129195001
227;20221129205801
149;20221130014501
311;20221129191401
262;20221129202801
357;20221130160501
252;20221129181801
168;20221130002501
269;20221129203201
310;20221129191001
249;20221130223001
293;20221130173001
304;20221129185601
308;20221129193401
339;20221130181001
296;20221129184401
206;20221130072001
366;20221130155001
240;20221130223501
346;20221130211501
234;20221129205401
143;20221129220001
147;20221130021001
258;20221129203401
431;20221130114501
183;20221130070001
160;20221130063001
0;20221129185001
402;20221130095001
141;20221130044001
444;20221130133001
396;20221130094001
197;20221130071501
193;20221130234619
237;20221129205001
79;20221129225501
145;20221130025501
248;20221129204001
278;20221129200801
443;20221130134501
327;20221130162501
196;20221130232501
436;20221130140001
293;20221130172501
309;20221129190201
154;20221129163801
142;20221130045001
437;20221130140501
72;20221129231501
145;20221130042501
145;20221130025001
297;20221129184601
444;20221130132501
381;20221130092001
180;20221129173401
261;20221129182601
146;20221130024501
375;20221130184155
397;20221130094501
353;20221130084501
276;20221129202001
303;20221129194601
148;20221130061001
291;20221130170501
291;20221129183801
145;20221130050501
298;20221129195201
163;20221129215001
168;20221129214501
146;20221130031501
274;20221129202401
422;20221130102501
96;20221129172201
349;20221130083501
236;20221129180801
307;20221129193801
418;20221130102001
100;20221129170201
305;20221129185401
394;20221130194001
237;20221129204801
277;20221129201001
227;20221129180401
414;20221130145001
312;20221129191601
301;20221130170001
326;20221130180001
310;20221129190601
223;20221129210001
60;20221130000501
166;20221130011501
396;20221130095501
189;20221130065501
166;20221130011001
181;20221129173201
431;20221130105501
275;20221129201401
334;20221130162001
146;20221130032001
128;20221129222001
264;20221129182401
141;20221130054001
295;20221129184201
166;20221130012501
397;20221130200001
398;20221130191501
99;20221129170601
143;20221130053001
275;20221129201801
363;20221130085501
0;20221130162625
286;20221129195601
217;20221130073001
219;20221130224501
264;20221129182801
278;20221129201601
147;20221130021501
421;20221130103501
451;20221130123501
211;20221129211201
255;20221129203601
215;20221129211801
146;20221130031001
0;20221130165501
192;20221129212401
146;20221130033001
166;20221130003001
431;20221130113001
149;20221130020001
394;20221130194832
391;20221130201001
211;20221130230001
418;20221130101501
142;20221130052501
100;20221129171001
303;20221130081501
446;20221130122501
212;20221129175801
219;20221129210401
215;20221129210601
227;20221129205601
142;20221130053501
440;20221130125501
269;20221129202601
101;20221129223501
292;20221130174001
146;20221130030501
431;20221130114001
326;20221130213501
149;20221130015501
168;20221130002001
168;20221130001001
397;20221130192501
0;20221129194401
394;20221130195001
434;20221130141001
205;20221129211601
310;20221129192401
141;20221130050001
183;20221129173801
150;20221130015001
181;20221129173001
188;20221129174601
246;20221129181601
127;20221129164601
128;20221129221501
279;20221129201201
77;20221129231001
62;20221129234501
447;20221130123001
310;20221130164501
373;20221130090501
140;20221129164201
310;20221130175501
141;20221130045501
443;20221130135001
219;20221129211001
301;20221130165001
222;20221130225001
264;20221130221001
269;20221130075501
401;20221130151501
221;20221129210201
375;20221130154501
282;20221129184001
280;20221129200601
146;20221130034001
424;20221130143001
320;20221130163001
244;20221129204201
97;20221129171802
385;20221130203001
412;20221130150001
108;20221129170001
145;20221130042001
358;20221130205501
310;20221130175001
189;20221129175001
397;20221130195501
111;20221129165601
446;20221130121001
146;20221130023501
369;20221130204501
363;20221130090001
372;20221130091001
310;20221129193001
384;20221130190001
289;20221130172001
428;20221130142501
446;20221130121501
143;20221130051501
296;20221130173501
146;20221130022945
389;20221130185501
310;20221129191801
285;20221129183601
243;20221129181201
195;20221130071001
146;20221130032501
82;20221129224501
237;20221129204601
165;20221130014001
281;20221129200401
193;20221130233501
375;20221130184036
100;20221129172001
386;20221130202501
207;20221130230501
454;20221130124001
386;20221130203501
291;20221130171001
210;20221129211401
166;20221130010501
408;20221130151001
299;20221129184801
457;20221130124501
255;20221130074501
206;20221129180001
441;20221130130501
166;20221130004001
146;20221130035501
99;20221129172401
111;20221129223001
435;20221130112001
73;20221129232001
259;20221130222001
304;20221129185801
245;20221129181401
215;20221129210801
434;20221130115001
165;20221130013001
174;20221129214001
146;20221130040001
181;20221129173601
180;20221129213601
160;20221130062501
394;20221130093501
141;20221130044501
396;20221130190501
190;20221129175201
385;20221130152501
431;20221130141501
257;20221129182201
189;20221129212801
284;20221129200001
145;20221130060001
431;20221130110001
0;20221130161403
306;20221129190401
310;20221129190801
427;20221130105001
200;20221130231001
313;20221130164001
291;20221130080501
200;20221129175601
360;20221130085001
147;20221130034501
147;20221130033501
255;20221130074001
77;20221129230001
250;20221129203801
436;20221130115501
66;20221129233001
181;20221129172801
419;20221130145501
357;20221130160001
97;20221129170801
424;20221130143501
166;20221130010001
309;20221130214001
435;20221130111501
98;20221129171401
391;20221130153001
196;20221130232001
418;20221130100501
187;20221201001501
187;20221201002001
187;20221201002501
187;20221201003001
187;20221201003501
185;20221201004001
186;20221201004501
184;20221201005001
186;20221201005501
186;20221201010001
186;20221201010501
186;20221201011001
185;20221201011501
184;20221201012001
184;20221201012502
184;20221201013001
184;20221201013501
184;20221201014001
169;20221201014501
170;20221201015001
168;20221201015501
168;20221201020001
168;20221201020501
168;20221201021001
168;20221201021501
168;20221201022001
168;20221201022501
168;20221201023001
168;20221201023501
167;20221201024001
167;20221201024501
167;20221201025001
167;20221201025501
167;20221201030001
167;20221201030501
167;20221201031001
167;20221201031501
167;20221201032001
167;20221201032501
165;20221201033001
166;20221201033501
164;20221201034001
164;20221201034501
163;20221201035001
163;20221201035501
163;20221201040001
163;20221201040501
162;20221201041001
161;20221201041501
161;20221201042001
161;20221201042501
161;20221201043001
159;20221201043501
159;20221201044001
158;20221201044501
158;20221201045001
159;20221201045501
159;20221201050001
157;20221201050501
157;20221201051001
157;20221201051501
157;20221201052001
157;20221201052501
157;20221201053001
157;20221201053501
157;20221201054001
157;20221201054501
158;20221201055001
158;20221201055501
158;20221201060001
161;20221201060501
169;20221201061001
169;20221201061501
177;20221201062001
177;20221201062501
180;20221201063001
193;20221201063501
184;20221201064001
195;20221201064501
201;20221201065001
218;20221201065501
218;20221201070001
230;20221201070501
230;20221201071001
235;20221201071501
242;20221201072001
257;20221201072501
270;20221201073001
257;20221201073501
281;20221201074001
309;20221201074501
323;20221201075001
323;20221201075501
337;20221201080001
349;20221201080501
384;20221201081001
384;20221201081501
394;20221201082001
418;20221201082501
400;20221201083001
418;20221201083501
431;20221201084001
444;20221201084501
453;20221201085001
458;20221201085501
472;20221201090001
472;20221201090501
475;20221201091001
482;20221201091501
488;20221201092001
482;20221201092501
488;20221201093001
492;20221201093501
500;20221201094001
496;20221201094501
506;20221201095001
509;20221201095501
513;20221201100001
513;20221201100501
519;20221201101001
519;20221201101501
522;20221201102001
524;20221201102501
530;20221201103001
530;20221201103501
529;20221201104001
533;20221201104501
533;20221201105001
533;20221201105501
537;20221201110001
543;20221201110501
543;20221201111001
544;20221201111501
543;20221201112001
543;20221201112501
537;20221201113001
540;20221201113501
540;20221201114001
540;20221201114501
541;20221201115001
535;20221201115501
537;20221201120001
538;20221201120501
538;20221201121001
543;20221201121501
543;20221201122001
547;20221201122501
551;20221201123001
551;20221201123501
545;20221201124001
550;20221201124501
549;20221201125001
552;20221201125501
549;20221201130001
548;20221201130501
553;20221201131001
556;20221201131501
557;20221201132001
551;20221201132501
555;20221201133001
555;20221201133501
545;20221201134001
548;20221201134501
544;20221201135001
543;20221201135501
535;20221201140001
532;20221201140501
531;20221201141001
530;20221201141502
530;20221201142001
526;20221201142501
521;20221201143001
523;20221201143501
521;20221201144001
517;20221201144501
511;20221201145001
491;20221201145501
